Disorder Strength,t=20,t=40,t=60,t=80,t=100
0.0,0.1400722481254865,0.08078827235049321,0.07257635588161472,0.06551981599680091,0.05556982977779163
0.02040816326530612,0.14031537593765048,0.08114744863536755,0.07306203161564857,0.06613241464683547,0.05633160271749401
0.04081632653061224,0.14079789138495183,0.08223550789885185,0.07461192107502072,0.06794053927986965,0.0585679644693283
0.061224489795918366,0.14204697912000602,0.08389022669438427,0.07693935594814767,0.07130215327698436,0.06241731551298362
0.08163265306122448,0.14346229557153808,0.08664073986479266,0.08076289884140234,0.0762855088276054,0.06788764702854909
0.1020408163265306,0.14492089270270248,0.08993046660736571,0.08551162913596713,0.08273256997098767,0.07564835920299477
0.12244897959183673,0.1484960591926895,0.09448834603904188,0.09121842621136723,0.09027546322465012,0.08528173803153881
0.14285714285714285,0.1497466175810204,0.09955217922481696,0.0984901803675787,0.09935262210695701,0.09741901148419632
0.16326530612244897,0.15336071880927543,0.10520085481171038,0.10643265237006129,0.11155354204727788,0.11209887105478958
0.18367346938775508,0.15578617610826387,0.11241169126066107,0.11619079899777514,0.12374792287621787,0.1279364665671535
0.2040816326530612,0.1600618851736175,0.11960965865139901,0.12715499922739723,0.1376481032883847,0.14538191154401323
0.22448979591836732,0.16365369825919152,0.12879261450534413,0.13823841746288085,0.15178963374300936,0.16176304376025077
0.24489795918367346,0.167080055492873,0.13677269405433795,0.15009683382882325,0.16572569804840076,0.17621982377192105
0.26530612244897955,0.17134231953530282,0.14662558834040648,0.1619655984654011,0.17812277550940409,0.18656009719012837
0.2857142857142857,0.1780590250361615,0.15640420560654184,0.17378522378667113,0.1875649857350662,0.19228906124610043
0.3061224489795918,0.18089635895131417,0.16514793777740272,0.18233481155339706,0.1934081143940056,0.19158786408765752
0.32653061224489793,0.18589333449403006,0.1747013754730888,0.19009299429144902,0.1943438177357868,0.18726275646182264
0.3469387755102041,0.18919659400656397,0.18290288313436504,0.19447766426765434,0.19236570903442038,0.18005822372759664
0.36734693877551017,0.19446007476342403,0.1895170086373507,0.1946700433426376,0.18638495705551114,0.1689661455214245
0.3877551020408163,0.19834315065119695,0.1944705966099595,0.19346534769998788,0.17846923858597757,0.15814888353392786
0.4081632653061224,0.20220086815496138,0.1969744145392301,0.19062944270325977,0.1685171369302683,0.14772204250728402
0.42857142857142855,0.20373359784259887,0.19907469157263785,0.18360496199534027,0.15897559875720157,0.13446609054769004
0.44897959183673464,0.20828386232049428,0.19758413745256054,0.17637811872471196,0.14843394847717586,0.12397215438042385
0.4693877551020408,0.21019573926674326,0.19494370322578838,0.1674758803070949,0.13732322952024195,0.1151666175336997
0.4897959183673469,0.2110036721017831,0.19194075700357796,0.15962088266587726,0.12791728101397323,0.10519728480273953
0.5102040816326531,0.21350647841560444,0.18715217365250694,0.14902777516064303,0.11866097394198617,0.09719162562606734
0.5306122448979591,0.21234710940443377,0.1812822655555904,0.13975941767754255,0.11030836572014031,0.08968671878696813
0.5510204081632653,0.21127704366932776,0.17389671468450515,0.13107914956152072,0.10179238457206474,0.08186120566226214
0.5714285714285714,0.21038886693576656,0.16513726368912,0.12225096493456432,0.09354609338744142,0.07672004932927641
0.5918367346938775,0.20860334323001145,0.15758335318274677,0.11476927643680158,0.08708413454794266,0.06986802940781267
0.6122448979591836,0.20466692209363016,0.14979814313016254,0.10691682846339821,0.08196560032511663,0.06570166432126164
0.6326530612244897,0.20170602610107607,0.14065952113715188,0.09995667525534763,0.07603733388163932,0.06162794054664529
0.6530612244897959,0.19835242756150584,0.1348834258841723,0.09262459944901015,0.07046705238548348,0.05628449873106758
0.673469387755102,0.193959675354686,0.1250559737035925,0.08726666366850783,0.06504674952374846,0.05210208492135749
0.6938775510204082,0.18734036285776956,0.11973853010410947,0.08175047249524149,0.06124977073758428,0.04911242292636287
0.7142857142857142,0.18351651218847614,0.11105867396675952,0.07632090414142974,0.0568637681745098,0.0446663623383065
0.7346938775510203,0.17579505739686302,0.10499650581972896,0.07150159456293843,0.053267935052985556,0.04242201968987871
0.7551020408163265,0.17084973420435645,0.09898533743656608,0.06660365069477273,0.04985750924820544,0.039366537948014944
0.7755102040816326,0.16327689981817073,0.09326487941319132,0.062063838155134436,0.045982747100212946,0.03625916164458289
0.7959183673469387,0.1576652047610723,0.08738783147455753,0.05851479848089021,0.043306310325348624,0.033778948544009105
0.8163265306122448,0.15021795547163153,0.08230799321925256,0.0544206069257598,0.040942895031876904,0.03171266527711241
0.836734693877551,0.1447408204088816,0.07785706474717458,0.050767015487942144,0.037513898607970816,0.02947990375773555
0.8571428571428571,0.13561882901324834,0.0716840952649349,0.04765202885770074,0.03560143519332825,0.02753659186609299
0.8775510204081632,0.13096637332928537,0.06796299616788261,0.043908638252542424,0.03266477953794417,0.02602356697137506
0.8979591836734693,0.12351987171121116,0.06390460801961276,0.04170421853236554,0.030325380382807902,0.023996926147998383
0.9183673469387754,0.11853679885450802,0.059366199305026235,0.03852450830891061,0.027804209840493723,0.02246583461406567
0.9387755102040816,0.1111091544139989,0.05612449534249423,0.0359548597329767,0.02584862750377584,0.02046868734291146
0.9591836734693877,0.10635473471982758,0.05113404792232756,0.03368080186261384,0.02437812617266402,0.01873380284598046
0.9795918367346939,0.09782142567280243,0.04845482737552099,0.03126663501539525,0.022402784509884213,0.017231313740154467
1.0,0.09290972992399016,0.044617909302371944,0.02839020825751211,0.02038922574194248,0.01614590198371882
